time,recorded_data,Analog,Voltage [V],Temperature [C],Year,Month,Weekday,Hour,Minute,Second
2025-02-03 17:49:18.565468,"['0.00', '0.73', '23.24']",0.0,0.73,23.24,2025,February,Monday,17,49,18
2025-02-03 17:49:19.565845,"['150.00', '0.73', '23.24']",150.0,0.73,23.24,2025,February,Monday,17,49,19
2025-02-03 17:49:20.566243,"['0', '0.73', '23.24']",0.0,0.73,23.24,2025,February,Monday,17,49,20
2025-02-03 17:49:21.566755,"['150.00', '0.73', '23.24']",150.0,0.73,23.24,2025,February,Monday,17,49,21
2025-02-03 17:49:22.567360,"['150.00', '0.73', '23.24']",150.0,0.73,23.24,2025,February,Monday,17,49,22
2025-02-03 17:49:23.567735,"['150.00', '0.73', '23.24']",150.0,0.73,23.24,2025,February,Monday,17,49,23
2025-02-03 17:49:24.568472,"['150.00', '0.73', '23.24']",150.0,0.73,23.24,2025,February,Monday,17,49,24
2025-02-03 17:49:25.568852,"['150.00', '0.73', '23.24']",150.0,0.73,23.24,2025,February,Monday,17,49,25
2025-02-03 17:49:26.569530,"['150.00', '0.73', '23.24']",150.0,0.73,23.24,2025,February,Monday,17,49,26
2025-02-03 17:49:27.569875,"['0', '0.73', '23.24']",0.0,0.73,23.24,2025,February,Monday,17,49,27
2025-02-03 17:49:28.570553,"['150.00', '0.73', '23.24']",150.0,0.73,23.24,2025,February,Monday,17,49,28
2025-02-03 17:49:29.570929,"['150.00', '0.73', '23.24']",150.0,0.73,23.24,2025,February,Monday,17,49,29
2025-02-03 17:49:30.571609,"['150.00', '0.73', '23.24']",150.0,0.73,23.24,2025,February,Monday,17,49,30
2025-02-03 17:49:31.572355,"['150.00', '0.73', '23.24']",150.0,0.73,23.24,2025,February,Monday,17,49,31
2025-02-03 17:49:32.573143,"['150.00', '0.73', '23.24']",150.0,0.73,23.24,2025,February,Monday,17,49,32
2025-02-03 17:49:33.573833,"['150.00', '0.73', '23.24']",150.0,0.73,23.24,2025,February,Monday,17,49,33
2025-02-03 17:49:34.574521,"['149.00', '0.73', '22.75']",149.0,0.73,22.75,2025,February,Monday,17,49,34
2025-02-03 17:49:35.575262,"['150.00', '0.73', '23.24']",150.0,0.73,23.24,2025,February,Monday,17,49,35
2025-02-03 17:49:36.575958,"['149.00', '0.73', '22.75']",149.0,0.73,22.75,2025,February,Monday,17,49,36
2025-02-03 17:49:37.576336,"['150.00', '0.73', '23.24']",150.0,0.73,23.24,2025,February,Monday,17,49,37
2025-02-03 17:49:38.577069,"['150.00', '0.73', '23.24']",150.0,0.73,23.24,2025,February,Monday,17,49,38
2025-02-03 17:49:39.577748,"['150.00', '0.73', '23.24']",150.0,0.73,23.24,2025,February,Monday,17,49,39
2025-02-03 17:49:40.578482,"['150.00', '0.73', '23.24']",150.0,0.73,23.24,2025,February,Monday,17,49,40
2025-02-03 17:49:41.579223,"['150.00', '0.73', '23.24']",150.0,0.73,23.24,2025,February,Monday,17,49,41
2025-02-03 17:49:42.579914,"['150.00', '0.73', '23.24']",150.0,0.73,23.24,2025,February,Monday,17,49,42
2025-02-03 17:49:43.580601,"['150.00', '0.73', '23.24']",150.0,0.73,23.24,2025,February,Monday,17,49,43
2025-02-03 17:49:44.581359,"['150.00', '0.73', '23.24']",150.0,0.73,23.24,2025,February,Monday,17,49,44
2025-02-03 17:49:45.582114,"['150.00', '0.73', '23.24']",150.0,0.73,23.24,2025,February,Monday,17,49,45
2025-02-03 17:49:46.582800,"['150.00', '0.73', '23.24']",150.0,0.73,23.24,2025,February,Monday,17,49,46
2025-02-03 17:49:47.583529,"['149.00', '0.73', '22.75']",149.0,0.73,22.75,2025,February,Monday,17,49,47
2025-02-03 17:49:48.584280,"['150.00', '0.73', '23.24']",150.0,0.73,23.24,2025,February,Monday,17,49,48
2025-02-03 17:49:49.584969,"['150.00', '0.73', '23.24']",150.0,0.73,23.24,2025,February,Monday,17,49,49
2025-02-03 17:49:50.585652,"['149.00', '0.73', '22.75']",149.0,0.73,22.75,2025,February,Monday,17,49,50
2025-02-03 17:49:51.586058,"['150.00', '0.73', '23.24']",150.0,0.73,23.24,2025,February,Monday,17,49,51
2025-02-03 17:49:52.586740,"['150.00', '0.73', '23.24']",150.0,0.73,23.24,2025,February,Monday,17,49,52
2025-02-03 17:49:53.587144,"['150.00', '0.73', '23.24']",150.0,0.73,23.24,2025,February,Monday,17,49,53
2025-02-03 17:49:54.587515,"['150.00', '0.73', '23.24']",150.0,0.73,23.24,2025,February,Monday,17,49,54
2025-02-03 17:49:55.588250,"['150.00', '0.73', '23.24']",150.0,0.73,23.24,2025,February,Monday,17,49,55
2025-02-03 17:49:56.588940,"['150.00', '0.73', '23.24']",150.0,0.73,23.24,2025,February,Monday,17,49,56
2025-02-03 17:49:57.589317,"['149.00', '0.73', '22.75']",149.0,0.73,22.75,2025,February,Monday,17,49,57
2025-02-03 17:49:58.589994,"['149.00', '0.73', '22.75']",149.0,0.73,22.75,2025,February,Monday,17,49,58
2025-02-03 17:49:59.590718,"['149.00', '0.73', '22.75']",149.0,0.73,22.75,2025,February,Monday,17,49,59
2025-02-03 17:50:00.591450,"['150.00', '0.73', '23.24']",150.0,0.73,23.24,2025,February,Monday,17,50,0
2025-02-03 17:50:01.592192,"['149.00', '0.73', '22.75']",149.0,0.73,22.75,2025,February,Monday,17,50,1
2025-02-03 17:50:02.592879,"['150.00', '0.73', '23.24']",150.0,0.73,23.24,2025,February,Monday,17,50,2
2025-02-03 17:50:03.593577,"['150.00', '0.73', '23.24']",150.0,0.73,23.24,2025,February,Monday,17,50,3
2025-02-03 17:50:04.594325,"['150.00', '0.73', '23.24']",150.0,0.73,23.24,2025,February,Monday,17,50,4
2025-02-03 17:50:05.594705,"['149.00', '0.73', '22.75']",149.0,0.73,22.75,2025,February,Monday,17,50,5
2025-02-03 17:50:06.595098,"['150.00', '0.73', '23.24']",150.0,0.73,23.24,2025,February,Monday,17,50,6
2025-02-03 17:50:07.595772,"['150.00', '0.73', '23.24']",150.0,0.73,23.24,2025,February,Monday,17,50,7
2025-02-03 17:50:08.596506,"['149.00', '0.73', '22.75']",149.0,0.73,22.75,2025,February,Monday,17,50,8
2025-02-03 17:50:09.597210,"['150.00', '0.73', '23.24']",150.0,0.73,23.24,2025,February,Monday,17,50,9
2025-02-03 17:50:10.597914,"['150.00', '0.73', '23.24']",150.0,0.73,23.24,2025,February,Monday,17,50,10
2025-02-03 17:50:11.598604,"['150.00', '0.73', '23.24']",150.0,0.73,23.24,2025,February,Monday,17,50,11
2025-02-03 17:50:12.599140,"['150.00', '0.73', '23.24']",150.0,0.73,23.24,2025,February,Monday,17,50,12
2025-02-03 17:50:13.599751,"['150.00', '0.73', '23.24']",150.0,0.73,23.24,2025,February,Monday,17,50,13
2025-02-03 17:50:14.600484,"['150.00', '0.73', '23.24']",150.0,0.73,23.24,2025,February,Monday,17,50,14
2025-02-03 17:50:15.601267,"['150.00', '0.73', '23.24']",150.0,0.73,23.24,2025,February,Monday,17,50,15
2025-02-03 17:50:16.601954,"['149.00', '0.73', '22.75']",149.0,0.73,22.75,2025,February,Monday,17,50,16
2025-02-03 17:50:17.602636,"['150.00', '0.73', '23.24']",150.0,0.73,23.24,2025,February,Monday,17,50,17
2025-02-03 17:50:18.603384,"['150.00', '0.73', '23.24']",150.0,0.73,23.24,2025,February,Monday,17,50,18
2025-02-03 17:50:19.604136,"['150.00', '0.73', '23.24']",150.0,0.73,23.24,2025,February,Monday,17,50,19
2025-02-03 17:50:20.604514,"['150.00', '0.73', '23.24']",150.0,0.73,23.24,2025,February,Monday,17,50,20
2025-02-03 17:50:21.604885,"['150.00', '0.73', '23.24']",150.0,0.73,23.24,2025,February,Monday,17,50,21
2025-02-03 17:50:22.605568,"['150.00', '0.73', '23.24']",150.0,0.73,23.24,2025,February,Monday,17,50,22
2025-02-03 17:50:23.606304,"['149.00', '0.73', '22.75']",149.0,0.73,22.75,2025,February,Monday,17,50,23
2025-02-03 17:50:24.606987,"['149.00', '0.73', '22.75']",149.0,0.73,22.75,2025,February,Monday,17,50,24
2025-02-03 17:50:25.607409,"['150.00', '0.73', '23.24']",150.0,0.73,23.24,2025,February,Monday,17,50,25
2025-02-03 17:50:26.607780,"['150.00', '0.73', '23.24']",150.0,0.73,23.24,2025,February,Monday,17,50,26
2025-02-03 17:50:27.608505,"['150.00', '0.73', '23.24']",150.0,0.73,23.24,2025,February,Monday,17,50,27
2025-02-03 17:50:28.609248,"['150.00', '0.73', '23.24']",150.0,0.73,23.24,2025,February,Monday,17,50,28
2025-02-03 17:50:29.609621,"['150.00', '0.73', '23.24']",150.0,0.73,23.24,2025,February,Monday,17,50,29
2025-02-03 17:50:30.610361,"['150.00', '0.73', '23.24']",150.0,0.73,23.24,2025,February,Monday,17,50,30
2025-02-03 17:50:31.611104,"['150.00', '0.73', '23.24']",150.0,0.73,23.24,2025,February,Monday,17,50,31
2025-02-03 17:50:32.611789,"['150.00', '0.73', '23.24']",150.0,0.73,23.24,2025,February,Monday,17,50,32
2025-02-03 17:50:33.612520,"['150.00', '0.73', '23.24']",150.0,0.73,23.24,2025,February,Monday,17,50,33
2025-02-03 17:50:34.612897,"['150.00', '0.73', '23.24']",150.0,0.73,23.24,2025,February,Monday,17,50,34
2025-02-03 17:50:35.613578,"['150.00', '0.73', '23.24']",150.0,0.73,23.24,2025,February,Monday,17,50,35
2025-02-03 17:50:36.614365,"['150.00', '0.73', '23.24']",150.0,0.73,23.24,2025,February,Monday,17,50,36
2025-02-03 17:50:37.615118,"['150.00', '0.73', '23.24']",150.0,0.73,23.24,2025,February,Monday,17,50,37
2025-02-03 17:50:38.615810,"['150.00', '0.73', '23.24']",150.0,0.73,23.24,2025,February,Monday,17,50,38
2025-02-03 17:50:39.616498,"['150.00', '0.73', '23.24']",150.0,0.73,23.24,2025,February,Monday,17,50,39
2025-02-03 17:50:40.617244,"['150.00', '0.73', '23.24']",150.0,0.73,23.24,2025,February,Monday,17,50,40
2025-02-03 17:50:41.617971,"['150.00', '0.73', '23.24']",150.0,0.73,23.24,2025,February,Monday,17,50,41
2025-02-03 17:50:42.618667,"['150.00', '0.73', '23.24']",150.0,0.73,23.24,2025,February,Monday,17,50,42
2025-02-03 17:50:43.619129,"['150.00', '0.73', '23.24']",150.0,0.73,23.24,2025,February,Monday,17,50,43
2025-02-03 17:50:44.619809,"['149.00', '0.73', '22.75']",149.0,0.73,22.75,2025,February,Monday,17,50,44
2025-02-03 17:50:45.620209,"['150.00', '0.73', '23.24']",150.0,0.73,23.24,2025,February,Monday,17,50,45
